Date,Humidifier power [kW],HV light Power [kW]
2019-05-02,0.009095138888888889,3.5153687500000004
2019-05-03,3.745176388888889,3.101225
2019-05-04,0.008503472222222221,0.5956958333333333
2019-05-05,0.008665277777777777,0.5077069444444444
2019-05-06,4.252388194444444,3.401261111111111
2019-05-07,0.008875694444444445,3.386186805555556
2019-05-08,0.009004166666666666,3.7169145833333332
2019-05-09,0.009180555555555555,3.680359722222222
2019-05-10,0.008313194444444444,3.115984722222222
2019-05-11,0.008519444444444444,0.5098319444444445
2019-05-12,0.008722916666666667,0.51675
2019-05-13,0.01204652777777778,3.302886111111111
2019-05-14,0.009154166666666666,3.230590277777778
2019-05-15,0.009221527777777778,3.1135708333333336
2019-05-16,1.1318006944444443,3.347872222222222
2019-05-17,0.009068749999999999,2.9641583333333332
2019-05-18,0.008391666666666667,0.5401805555555556
